Animal Number;Date;Incomplete;Incomplete Milkings;Kickoff LF;Kickoff LR;Kickoff RF;Kickoff RR;Incomplete Milkings;OCC(*1000 cells/ml);Peak Flow LF;Peak Flow LR;Peak Flow RF;Peak Flow RR;Yield LF;Yield LR;Yield RF;Yield RR;Yield/Hour;Yield/Hour LF;Yield/Hour LR;Yield/Hour RF;Yield/Hour RR;Avg. Milking Duration;Avg. Milking Interval;Days In Milk;Milk Duration (mm:ss);Lactation Number;Position;Teats Not Found;Begin Time;End Time;Mean Flow LF;Mean Flow LR;Mean Flow RF;Mean Flow RR
1389;11/17/2023;;0;Unchecked;Unchecked;Unchecked;Unchecked;0;;1.92;0.78;1.38;1.02;6.62;0.32;7.02;3.66;1.43;0.54;0.03;0.57;0.30;10:27;12:09:28;312;10:27;1;0;;11/17/2023 3:28 PM;3:38 PM;1.32;0.24;1.02;0.78
736;11/17/2023;;0;Unchecked;Unchecked;Unchecked;Unchecked;0;25;1.14;1.26;1.32;1.44;4.26;6.45;5.66;6.50;1.72;0.32;0.48;0.43;0.49;10:03;13:08:16;253;10:03;5;0;;11/17/2023 3:28 PM;3:38 PM;0.84;1.02;0.96;1.02
856;11/17/2023;;0;Unchecked;Unchecked;Unchecked;Unchecked;0;402;1.62;2.16;2.34;1.92;4.81;5.93;4.54;4.26;2.52;0.62;0.76;0.58;0.55;07:27;07:38:55;120;07:27;4;0;;11/17/2023 3:24 PM;3:32 PM;1.20;1.56;1.50;1.32
929;11/17/2023;;0;Checked;Unchecked;Unchecked;Unchecked;0;782;1.62;1.32;1.86;1.56;5.91;4.85;4.64;5.50;2.28;0.65;0.53;0.51;0.60;08:40;09:00:13;14;08:40;4;0;;11/17/2023 3:15 PM;3:24 PM;1.14;0.90;1.32;1.14
1164;11/17/2023;;0;Unchecked;Unchecked;Unchecked;Unchecked;0;31;2.76;2.16;2.58;2.34;4.16;4.73;4.52;4.32;2.84;0.67;0.76;0.73;0.69;06:08;06:08:43;23;06:08;3;0;;11/17/2023 3:14 PM;3:20 PM;1.98;1.44;1.80;1.80
970;11/17/2023;;0;Unchecked;Unchecked;Unchecked;Unchecked;0;;2.10;2.28;2.04;1.92;4.37;6.26;4.94;6.83;1.79;0.35;0.50;0.39;0.55;07:24;12:23:12;165;07:24;4;0;;11/17/2023 3:08 PM;3:15 PM;1.44;1.68;1.50;1.50
1084;11/17/2023;;0;Unchecked;Unchecked;Unchecked;Unchecked;0;5;1.80;1.56;1.50;1.56;5.48;6.72;4.98;6.88;2.14;0.49;0.60;0.44;0.61;10:52;11:03:24;150;10:52;3;0;;11/17/2023 3:04 PM;3:15 PM;1.32;1.14;1.02;1.20
1360;11/17/2023;;0;Unchecked;Unchecked;Unchecked;Unchecked;0;;1.68;1.62;1.44;1.74;3.47;3.32;3.65;3.39;1.59;0.40;0.38;0.42;0.39;07:41;08:35:11;280;07:41;1;0;;11/17/2023 3:05 PM;3:12 PM;1.26;1.20;0.90;1.14
1100;11/17/2023;;0;Unchecked;Unchecked;Unchecked;Unchecked;0;142;1.44;2.16;1.56;2.04;2.79;4.35;2.89;4.15;1.87;0.37;0.57;0.38;0.55;06:07;07:28:54;284;06:07;3;0;;11/17/2023 3:04 PM;3:11 PM;0.96;1.38;1.02;1.50
1470;11/17/2023;;0;Unchecked;Unchecked;Unchecked;Unchecked;0;;2.82;2.52;2.34;1.56;2.98;3.16;2.84;3.05;1.25;0.31;0.33;0.29;0.32;06:53;09:30:50;39;06:53;1;0;;11/17/2023 2:58 PM;3:05 PM;1.62;1.62;1.44;1.08
1457;11/17/2023;;0;Unchecked;Unchecked;Unchecked;Unchecked;0;;1.68;1.56;1.44;1.44;4.59;4.15;4.49;5.52;1.64;0.40;0.36;0.39;0.48;11:10;11:14:56;38;11:10;1;0;;11/17/2023 2:53 PM;3:04 PM;1.26;1.08;1.14;1.02
1074;11/17/2023;;0;Unchecked;Unchecked;Unchecked;Unchecked;0;17;1.98;1.74;1.80;1.68;3.05;5.19;2.43;5.73;2.12;0.39;0.67;0.31;0.74;07:32;07:36:13;222;07:32;3;0;;11/17/2023 2:56 PM;3:03 PM;1.44;1.38;1.26;1.32
1151;11/17/2023;;0;Unchecked;Unchecked;Unchecked;Unchecked;0;1088;2.58;2.64;2.70;3.18;4.17;4.03;4.53;5.75;2.42;0.55;0.53;0.59;0.75;06:20;07:33:06;110;06:20;3;0;;11/17/2023 2:55 PM;3:01 PM;2.04;1.74;1.92;1.98
764;11/17/2023;;0;Unchecked;Unchecked;Unchecked;Unchecked;0;;1.80;1.62;1.74;1.14;5.83;6.79;5.37;0.85;2.06;0.64;0.74;0.59;0.09;08:53;08:58:24;164;08:53;5;0;;11/17/2023 2:49 PM;2:58 PM;1.14;1.20;1.14;0.60
1127;11/17/2023;;0;Unchecked;Unchecked;Unchecked;Unchecked;0;25;1.44;1.86;1.68;1.86;5.35;5.92;5.61;4.18;2.55;0.65;0.72;0.68;0.51;09:03;08:07:12;42;09:03;3;0;;11/17/2023 2:46 PM;2:55 PM;0.96;1.26;1.08;1.38
1276;11/17/2023;;0;Unchecked;Unchecked;Unchecked;Unchecked;0;28;1.62;1.32;1.44;1.86;4.11;4.54;3.91;5.48;2.72;0.62;0.68;0.59;0.83;08:05;06:29:34;117;08:05;2;0;;11/17/2023 2:47 PM;2:55 PM;1.20;0.96;1.08;1.44
1442;11/17/2023;;0;Unchecked;Unchecked;Unchecked;Unchecked;0;;1.62;1.26;1.32;1.62;3.44;3.96;3.50;4.19;1.38;0.31;0.36;0.32;0.38;08:33;10:48:25;165;08:33;1;0;;11/17/2023 2:44 PM;2:53 PM;1.14;0.84;1.02;1.26
1422;11/17/2023;;0;Unchecked;Unchecked;Unchecked;Unchecked;0;;1.38;2.04;2.16;2.04;0.52;6.15;3.98;5.78;1.02;0.03;0.38;0.25;0.36;07:11;15:57:21;251;07:11;1;0;;11/17/2023 2:40 PM;2:48 PM;0.60;1.50;1.56;1.50
1240;11/17/2023;;0;Unchecked;Unchecked;Unchecked;Unchecked;0;11;1.26;1.50;1.38;1.62;4.31;4.45;4.35;5.18;2.19;0.52;0.53;0.52;0.62;08:11;08:12:20;231;08:11;2;0;;11/17/2023 2:37 PM;2:45 PM;0.90;1.02;1.02;1.20
1424;11/17/2023;;0;Unchecked;Unchecked;Unchecked;Unchecked;0;;1.56;1.08;1.50;1.20;1.95;1.28;2.40;1.72;1.40;0.37;0.24;0.46;0.33;05:36;05:10:10;179;05:36;1;0;;11/17/2023 2:37 PM;2:43 PM;1.02;0.72;1.02;0.84
1212;11/17/2023;;0;Unchecked;Unchecked;Unchecked;Unchecked;0;177;;2.28;2.34;2.34;;8.10;4.85;7.93;1.61;0.00;0.62;0.37;0.61;07:02;12:52:58;282;07:02;2;0;;11/17/2023 2:35 PM;2:42 PM;;1.80;1.74;1.92
902;11/17/2023;;0;Unchecked;Unchecked;Unchecked;Unchecked;0;;1.26;1.92;;1.86;5.04;8.33;;9.12;1.61;0.36;0.60;0.00;0.65;10:03;13:45:15;65;10:03;4;0;;11/17/2023 2:28 PM;2:39 PM;0.90;1.44;;1.44
1399;11/17/2023;;0;Unchecked;Unchecked;Unchecked;Unchecked;0;;1.32;1.14;1.14;1.02;2.68;4.52;3.35;3.36;1.55;0.30;0.50;0.37;0.37;08:52;08:50:13;254;08:52;1;0;;11/17/2023 2:28 PM;2:37 PM;0.90;0.84;0.84;0.72
1153;11/17/2023;;0;Unchecked;Unchecked;Unchecked;Unchecked;0;28;2.34;2.64;2.22;2.58;3.76;4.27;4.70;3.98;3.11;0.70;0.80;0.88;0.74;05:58;05:16:22;75;05:58;3;0;;11/17/2023 2:30 PM;2:36 PM;1.68;1.92;1.68;1.80
1236;11/17/2023;;0;Unchecked;Unchecked;Unchecked;Unchecked;0;8;1.02;1.02;1.56;1.08;3.48;4.48;3.79;4.15;1.76;0.38;0.50;0.42;0.46;10:37;08:52:44;203;10:37;2;0;;11/17/2023 2:24 PM;2:34 PM;0.72;0.72;1.14;0.78
868;11/17/2023;;0;Unchecked;Unchecked;Unchecked;Unchecked;0;34;2.22;1.80;2.10;1.86;2.77;2.81;2.17;3.09;2.48;0.63;0.64;0.50;0.71;05:30;04:16:23;60;05:30;4;0;;11/17/2023 2:24 PM;2:29 PM;1.68;1.44;1.50;1.32
1463;11/17/2023;;0;Unchecked;Unchecked;Unchecked;Unchecked;0;;1.44;1.86;1.20;1.20;5.02;7.44;5.12;6.81;1.89;0.39;0.58;0.40;0.53;10:59;12:44:47;72;10:59;1;0;;11/17/2023 2:17 PM;2:28 PM;0.90;1.32;0.84;0.90
1116;11/17/2023;;0;Unchecked;Unchecked;Unchecked;Unchecked;0;;1.56;1.86;1.68;1.74;4.62;7.62;5.75;6.89;1.98;0.37;0.61;0.46;0.55;10:12;12:23:57;105;10:12;3;0;;11/17/2023 2:17 PM;2:27 PM;1.14;1.44;1.26;1.32
1321;11/17/2023;;0;Unchecked;Unchecked;Unchecked;Unchecked;0;31;2.34;2.10;2.28;2.10;3.38;3.29;4.21;4.29;2.61;0.58;0.57;0.72;0.74;05:38;05:43:22;81;05:38;2;0;;11/17/2023 2:17 PM;2:22 PM;1.68;1.38;1.80;1.56
922;11/17/2023;;0;Unchecked;Unchecked;Checked;Unchecked;0;11;2.34;2.22;1.98;2.22;4.05;3.78;4.15;4.28;2.04;0.51;0.47;0.52;0.54;05:46;07:53:59;181;05:46;4;0;;11/17/2023 2:12 PM;2:17 PM;1.74;1.68;1.44;1.68
1401;11/17/2023;;0;Unchecked;Unchecked;Unchecked;Unchecked;0;;2.88;1.92;2.40;2.10;4.38;3.32;4.25;4.15;1.15;0.31;0.24;0.30;0.30;07:10;13:53:04;251;07:10;1;0;;11/17/2023 2:09 PM;2:16 PM;2.16;1.38;1.86;1.62
1410;11/17/2023;;0;Unchecked;Unchecked;Unchecked;Unchecked;0;;1.02;1.50;1.14;;4.22;6.76;5.25;;1.45;0.38;0.61;0.47;0.00;10:16;10:59:45;252;10:16;1;0;;11/17/2023 2:06 PM;2:16 PM;0.72;1.14;0.78;
1057;11/17/2023;;0;Unchecked;Unchecked;Unchecked;Unchecked;0;22;1.26;1.62;1.56;1.38;5.10;6.12;8.64;7.21;2.08;0.39;0.47;0.66;0.55;14:35;12:46:37;20;14:35;4;0;;11/17/2023 2:00 PM;2:15 PM;0.90;1.02;1.14;0.96
778;11/17/2023;;0;Unchecked;Unchecked;Unchecked;Unchecked;0;157;;2.34;1.98;1.32;;5.64;4.10;4.13;2.29;0.00;0.93;0.68;0.68;07:00;05:55:52;54;07:00;5;0;;11/17/2023 2:02 PM;2:09 PM;;1.80;1.50;0.96
973;11/17/2023;;0;Unchecked;Unchecked;Unchecked;Unchecked;0;;1.44;1.56;1.20;1.32;6.68;6.64;6.20;7.02;1.36;0.34;0.34;0.32;0.36;12:34;19:20:32;313;12:34;3;0;;11/17/2023 1:56 PM;2:09 PM;1.02;1.08;0.78;0.84
1458;11/17/2023;;0;Unchecked;Unchecked;Unchecked;Unchecked;0;;;1.98;2.04;1.80;;4.15;3.88;3.93;1.51;0.00;0.52;0.49;0.50;05:28;07:50:55;52;05:28;1;0;;11/17/2023 1:58 PM;2:03 PM;;1.56;1.38;1.32
948;11/17/2023;;0;Unchecked;Unchecked;Unchecked;Unchecked;0;11;;2.10;2.58;2.16;;6.54;6.90;8.05;1.54;0.00;0.47;0.49;0.58;08:12;13:51:06;437;08:12;3;0;;11/17/2023 1:53 PM;2:01 PM;;1.68;1.92;1.62
1192;11/17/2023;;0;Unchecked;Unchecked;Unchecked;Unchecked;0;5;1.56;1.68;1.38;1.92;3.30;3.12;2.83;4.76;1.75;0.41;0.39;0.35;0.60;06:34;07:53:25;353;06:34;2;0;;11/17/2023 1:51 PM;1:57 PM;1.08;1.26;1.02;1.50
1423;11/17/2023;;0;Unchecked;Unchecked;Unchecked;Unchecked;0;;1.92;1.50;1.74;1.74;2.77;2.70;2.80;3.04;1.50;0.37;0.36;0.37;0.40;06:44;07:25:31;195;06:44;1;0;;11/17/2023 1:48 PM;1:55 PM;1.44;1.14;1.26;1.32
1462;11/17/2023;;0;Unchecked;Unchecked;Unchecked;Unchecked;0;;2.94;2.40;2.70;1.98;4.39;3.96;3.94;3.99;1.43;0.39;0.35;0.35;0.35;07:16;11:14:16;17;07:16;1;0;;11/17/2023 1:47 PM;1:54 PM;2.16;1.68;1.98;1.50
1089;11/17/2023;;0;Unchecked;Unchecked;Unchecked;Unchecked;0;11;2.40;2.22;2.64;2.10;4.33;4.93;4.78;5.57;2.44;0.54;0.61;0.59;0.69;06:09;07:56:25;201;06:09;3;0;;11/17/2023 1:46 PM;1:52 PM;1.68;1.56;1.80;1.68
1231;11/17/2023;;0;Unchecked;Unchecked;Unchecked;Unchecked;0;14;1.92;1.62;1.80;1.86;4.32;4.46;4.79;4.13;2.42;0.59;0.61;0.65;0.56;06:45;07:12:06;185;06:45;2;0;;11/17/2023 1:43 PM;1:50 PM;1.44;1.20;1.32;1.32
1261;11/17/2023;;0;Unchecked;Unchecked;Unchecked;Unchecked;0;;2.46;1.80;1.68;1.86;4.37;6.25;3.41;6.55;2.12;0.45;0.64;0.35;0.67;09:02;09:33:27;141;09:02;2;0;;11/17/2023 1:39 PM;1:48 PM;1.56;1.38;1.08;1.38
1432;11/17/2023;;0;Unchecked;Unchecked;Unchecked;Unchecked;0;;1.32;1.44;2.10;1.44;3.13;3.64;3.34;3.14;1.71;0.40;0.47;0.43;0.41;08:53;07:36:00;92;08:53;1;0;;11/17/2023 1:37 PM;1:46 PM;0.90;1.08;1.50;1.08
1277;11/17/2023;;0;Unchecked;Unchecked;Unchecked;Unchecked;0;68;2.58;;;2.16;5.94;;;8.12;1.84;0.78;0.00;0.00;1.06;08:13;07:31:11;175;08:13;2;0;;11/17/2023 1:37 PM;1:45 PM;1.92;;;1.68
1305;11/17/2023;;0;Unchecked;Unchecked;Unchecked;Unchecked;0;48;1.62;1.38;1.68;;7.66;6.47;6.74;;2.10;0.77;0.65;0.68;0.00;11:13;09:43:56;90;11:13;2;0;;11/17/2023 1:31 PM;1:42 PM;1.20;1.02;1.20;
1419;11/17/2023;;0;Unchecked;Unchecked;Unchecked;Unchecked;0;;2.04;1.68;1.56;1.38;4.54;4.82;5.08;5.93;1.51;0.34;0.36;0.38;0.44;09:37;13:17:03;235;09:37;1;0;;11/17/2023 1:28 PM;1:38 PM;1.50;1.20;1.20;0.96
1320;11/17/2023;;0;Unchecked;Unchecked;Unchecked;Unchecked;0;;1.32;1.68;1.26;1.68;5.27;7.35;5.27;7.19;1.46;0.31;0.43;0.31;0.42;10:51;16:59:47;414;10:51;1;0;;11/17/2023 1:26 PM;1:36 PM;0.90;1.14;0.84;1.08
981;11/17/2023;;0;Unchecked;Unchecked;Checked;Unchecked;0;11;2.10;2.16;1.74;1.80;4.13;4.23;4.10;3.60;2.13;0.55;0.56;0.54;0.48;06:52;07:25:50;24;06:52;4;0;;11/17/2023 1:30 PM;1:36 PM;1.62;1.68;1.26;1.44
1233;11/17/2023;;0;Unchecked;Unchecked;Unchecked;Unchecked;0;28;1.74;1.44;1.92;1.38;4.90;5.48;4.99;5.28;1.72;0.41;0.46;0.42;0.44;08:58;11:52:16;246;08:58;2;0;;11/17/2023 1:20 PM;1:29 PM;1.20;1.02;1.38;0.96
1207;11/17/2023;;0;Unchecked;Unchecked;Unchecked;Unchecked;0;425;1.92;1.56;1.50;1.26;3.85;4.14;5.04;1.70;1.59;0.42;0.45;0.54;0.18;11:04;09:04:46;296;11:04;2;0;;11/17/2023 1:18 PM;1:29 PM;1.20;1.14;1.08;0.90
1329;11/17/2023;;0;Unchecked;Unchecked;Unchecked;Unchecked;0;;1.92;1.80;1.32;1.68;4.83;4.93;4.01;4.47;1.39;0.37;0.38;0.31;0.34;10:22;12:55:25;355;10:22;1;0;;11/17/2023 1:18 PM;1:28 PM;1.32;1.38;0.96;1.26
1412;11/17/2023;;0;Checked;Unchecked;Unchecked;Unchecked;0;;1.62;0.60;1.56;1.02;2.85;0.59;2.84;2.42;1.18;0.39;0.08;0.38;0.33;08:12;07:15:25;200;08:12;1;0;;11/17/2023 1:17 PM;1:25 PM;0.96;0.24;0.90;0.60
924;11/17/2023;;0;Unchecked;Unchecked;Unchecked;Unchecked;0;254;1.50;1.50;1.68;1.38;6.05;3.28;6.13;3.48;2.38;0.76;0.41;0.77;0.44;09:14;07:49:30;88;09:14;4;0;;11/17/2023 1:10 PM;1:19 PM;1.08;1.08;1.32;0.96
1245;11/17/2023;;0;Unchecked;Unchecked;Unchecked;Unchecked;0;20;2.82;2.46;2.16;1.98;4.36;5.25;3.81;6.13;2.02;0.45;0.54;0.39;0.63;08:07;09:32:29;267;08:07;2;0;;11/17/2023 1:08 PM;1:16 PM;1.92;1.92;1.50;1.44
1295;11/17/2023;;0;Unchecked;Unchecked;Unchecked;Unchecked;0;;;1.92;1.74;1.86;;6.12;3.39;6.53;1.48;0.00;0.56;0.31;0.60;09:02;10:43:18;141;09:02;2;0;;11/17/2023 1:07 PM;1:16 PM;;1.50;1.08;1.38
1404;11/17/2023;;0;Unchecked;Unchecked;Unchecked;Unchecked;0;;1.98;2.52;2.10;2.40;1.75;3.06;1.73;2.44;1.58;0.31;0.54;0.30;0.43;08:20;05:32:19;256;08:20;1;0;;11/17/2023 1:07 PM;1:16 PM;1.44;1.74;1.50;1.80
1144;11/17/2023;;0;Unchecked;Unchecked;Unchecked;Unchecked;0;42;2.34;1.98;2.28;2.34;4.33;7.39;4.29;6.93;2.29;0.43;0.74;0.43;0.69;07:59;09:52:04;86;07:59;3;0;;11/17/2023 1:02 PM;1:10 PM;1.68;1.44;1.68;1.68
1300;11/17/2023;;0;Unchecked;Unchecked;Unchecked;Unchecked;0;;1.44;1.86;1.26;1.74;2.24;2.62;1.35;2.78;1.70;0.42;0.50;0.26;0.53;06:03;05:10:56;119;06:03;2;0;;11/17/2023 1:00 PM;1:06 PM;1.08;1.20;0.78;1.20
1380;11/17/2023;;0;Unchecked;Unchecked;Unchecked;Unchecked;0;;1.62;1.68;1.86;1.56;2.45;3.39;2.12;2.85;1.46;0.33;0.46;0.29;0.39;06:13;07:16:30;301;06:13;1;0;;11/17/2023 12:59 PM;1:06 PM;1.32;1.32;1.32;1.20
1259;11/17/2023;;0;Unchecked;Unchecked;Unchecked;Unchecked;0;14;1.56;1.50;1.74;1.26;5.20;5.91;5.65;5.01;1.99;0.48;0.54;0.52;0.46;08:28;10:46:13;249;08:28;2;0;;11/17/2023 12:55 PM;1:04 PM;1.08;1.14;1.20;0.90
785;11/17/2023;;0;Unchecked;Unchecked;Unchecked;Unchecked;0;48;1.26;1.20;1.32;1.62;4.58;5.55;5.63;6.01;1.99;0.42;0.51;0.51;0.55;09:59;10:47:35;36;09:59;5;0;;11/17/2023 12:51 PM;1:01 PM;0.84;0.84;0.90;1.14
1486;11/17/2023;;0;Unchecked;Unchecked;Unchecked;Unchecked;0;;1.86;2.10;1.80;2.82;3.14;3.39;3.24;2.73;1.36;0.34;0.37;0.35;0.30;06:17;09:04:30;64;06:17;1;0;;11/17/2023 12:53 PM;1:00 PM;1.32;1.68;1.32;1.74
1354;11/17/2023;;0;Unchecked;Unchecked;Unchecked;Unchecked;0;;2.04;;1.56;1.86;6.88;;6.93;6.62;1.52;0.51;0.00;0.52;0.49;09:28;13:15:13;267;09:28;1;0;;11/17/2023 12:49 PM;12:59 PM;1.62;;1.20;1.26
1023;11/17/2023;;0;Unchecked;Unchecked;Unchecked;Unchecked;0;14;1.62;1.74;1.20;1.44;4.05;4.22;4.22;4.28;2.32;0.56;0.58;0.58;0.59;08:33;07:04:02;117;08:33;4;0;;11/17/2023 12:46 PM;12:55 PM;1.14;1.14;0.84;1.08
1434;11/17/2023;;0;Unchecked;Unchecked;Unchecked;Unchecked;0;;1.68;1.44;1.80;1.68;4.46;4.41;4.68;4.05;1.96;0.50;0.49;0.52;0.45;08:37;08:49:18;196;08:37;1;0;;11/17/2023 12:44 PM;12:53 PM;1.32;0.90;1.38;1.02
1263;11/17/2023;;0;Unchecked;Unchecked;Unchecked;Unchecked;0;100;1.74;2.04;1.74;1.86;2.37;3.70;3.17;3.13;2.08;0.40;0.62;0.53;0.53;05:37;05:51:10;184;05:37;2;0;;11/17/2023 12:43 PM;12:49 PM;1.32;1.50;1.26;1.38
1359;11/17/2023;;0;Unchecked;Unchecked;Unchecked;Unchecked;0;;1.56;1.62;1.68;1.26;4.63;4.17;4.19;5.21;1.91;0.48;0.44;0.44;0.55;09:02;09:24:33;288;09:02;1;0;;11/17/2023 12:39 PM;12:48 PM;1.08;1.08;1.20;0.96
1258;11/17/2023;;0;Unchecked;Unchecked;Unchecked;Unchecked;0;14;2.16;2.28;2.58;2.70;5.72;5.50;6.46;5.40;1.66;0.41;0.40;0.46;0.39;08:26;13:46:06;186;08:26;2;0;;11/17/2023 12:37 PM;12:45 PM;1.62;1.74;1.74;1.86
1376;11/17/2023;;0;Unchecked;Unchecked;Unchecked;Unchecked;0;;1.86;1.44;1.74;1.32;1.46;1.69;1.51;1.60;1.52;0.35;0.41;0.37;0.39;04:35;04:02:23;277;04:35;1;0;;11/17/2023 12:39 PM;12:44 PM;1.02;1.02;1.14;0.90
915;11/17/2023;;0;Unchecked;Unchecked;Unchecked;Unchecked;0;402;1.50;2.28;1.62;2.04;3.84;6.55;4.36;6.58;1.98;0.36;0.61;0.40;0.61;09:43;10:36:52;246;09:43;4;0;;11/17/2023 12:33 PM;12:43 PM;1.02;1.62;1.32;1.50
1461;11/17/2023;;0;Unchecked;Unchecked;Unchecked;Unchecked;0;;1.86;1.92;1.56;1.44;4.04;4.72;4.04;3.67;1.51;0.37;0.43;0.37;0.34;07:19;10:46:29;74;07:19;1;0;;11/17/2023 12:31 PM;12:38 PM;1.32;1.38;1.08;1.08
1472;11/17/2023;;0;Unchecked;Unchecked;Unchecked;Unchecked;0;;1.38;1.14;1.26;0.90;2.97;2.86;3.46;2.68;0.99;0.24;0.24;0.28;0.22;09:42;11:59:08;60;09:42;1;0;;11/17/2023 12:28 PM;12:38 PM;0.90;0.60;0.90;0.60
1319;11/17/2023;;0;Unchecked;Unchecked;Unchecked;Unchecked;0;42;1.80;2.58;;2.28;2.31;7.61;;6.38;1.58;0.22;0.74;0.00;0.62;06:23;10:11:40;30;06:23;2;0;;11/17/2023 12:29 PM;12:36 PM;1.38;1.98;;1.74
861;11/17/2023;;0;Unchecked;Unchecked;Unchecked;Unchecked;0;57;1.68;1.98;1.62;2.16;3.10;5.27;5.31;5.10;1.91;0.31;0.54;0.54;0.52;07:44;09:43:08;162;07:44;4;0;;11/17/2023 12:24 PM;12:32 PM;1.20;1.38;1.20;1.62
1396;11/17/2023;;0;Unchecked;Unchecked;Unchecked;Unchecked;0;;;2.28;2.46;1.50;;5.17;4.07;4.73;1.46;0.00;0.54;0.43;0.49;06:50;09:27:12;223;06:50;1;0;;11/17/2023 12:21 PM;12:28 PM;;1.74;1.62;1.20
1282;11/17/2023;;0;Unchecked;Unchecked;Unchecked;Unchecked;0;42;2.10;;2.16;2.46;5.83;;5.39;8.00;2.12;0.64;0.00;0.59;0.88;07:08;08:57:54;72;07:08;2;0;;11/17/2023 12:20 PM;12:28 PM;1.56;;1.62;1.80
1243;11/17/2023;;0;Unchecked;Unchecked;Unchecked;Unchecked;0;31;2.34;2.46;2.28;2.34;4.88;6.83;4.60;5.22;1.71;0.39;0.54;0.37;0.41;06:13;12:28:34;246;06:13;2;0;;11/17/2023 12:17 PM;12:23 PM;1.80;1.98;1.74;1.80
1335;11/17/2023;;0;Unchecked;Unchecked;Unchecked;Unchecked;0;;2.10;2.40;1.98;2.04;3.80;5.45;3.89;5.27;2.06;0.43;0.61;0.44;0.59;06:55;08:49:16;44;06:55;2;0;;11/17/2023 12:13 PM;12:20 PM;1.62;1.86;1.38;1.50
1061;11/17/2023;;0;Unchecked;Unchecked;Unchecked;Unchecked;0;20;1.80;;2.52;1.92;4.82;;5.57;7.24;1.58;0.43;0.00;0.50;0.65;09:31;11:01:04;284;09:31;3;0;;11/17/2023 12:10 PM;12:20 PM;1.20;;1.62;1.44
1414;11/17/2023;;0;Unchecked;Unchecked;Unchecked;Unchecked;0;;1.80;1.44;1.98;2.46;3.83;5.21;4.24;5.47;1.14;0.23;0.32;0.26;0.33;09:42;16:17:17;267;09:42;1;0;;11/17/2023 12:08 PM;12:17 PM;1.32;0.96;1.56;1.68
1039;11/17/2023;;0;Unchecked;Unchecked;Unchecked;Unchecked;0;62;1.92;1.80;1.08;1.92;4.52;4.93;3.49;5.58;1.69;0.41;0.45;0.32;0.51;08:02;10:49:00;302;08:02;3;0;;11/17/2023 12:08 PM;12:16 PM;1.26;1.32;0.78;1.38
1487;11/17/2023;;0;Unchecked;Unchecked;Unchecked;Unchecked;0;;1.14;1.68;1.32;1.38;3.14;4.13;2.89;3.62;1.59;0.36;0.48;0.33;0.42;08:12;08:31:54;25;08:12;1;0;;11/17/2023 12:03 PM;12:11 PM;0.84;1.20;0.90;1.02
935;11/17/2023;;0;Unchecked;Unchecked;Unchecked;Unchecked;0;11;2.28;1.74;;2.04;6.95;6.85;;6.33;2.02;0.70;0.69;0.00;0.63;07:29;09:52:17;91;07:29;4;0;;11/17/2023 12:02 PM;12:09 PM;1.56;1.38;;1.44
1098;11/17/2023;;0;Unchecked;Unchecked;Unchecked;Unchecked;0;97;1.62;1.38;2.22;1.38;3.83;5.67;6.58;5.67;2.33;0.41;0.61;0.70;0.61;09:07;09:10:52;252;09:07;3;0;;11/17/2023 11:56 AM;12:05 PM;1.20;1.02;1.68;1.02
1315;11/17/2023;;0;Unchecked;Unchecked;Unchecked;Unchecked;0;;1.38;1.50;1.32;1.50;3.97;5.49;4.65;6.23;1.85;0.36;0.50;0.42;0.57;10:57;10:47:17;43;10:57;2;0;;11/17/2023 11:52 AM;12:03 PM;1.02;0.90;0.96;1.08
1198;11/17/2023;;0;Unchecked;Unchecked;Unchecked;Unchecked;0;45;2.10;2.28;1.44;2.16;3.10;5.71;3.41;5.47;1.45;0.25;0.47;0.28;0.45;06:47;12:04:31;309;06:47;2;0;;11/17/2023 11:54 AM;12:01 PM;1.62;1.74;1.02;1.68
1460;11/17/2023;;0;Unchecked;Unchecked;Unchecked;Checked;0;;1.20;0.90;0.78;1.02;2.53;3.38;2.54;3.27;1.36;0.29;0.39;0.29;0.38;09:34;08:28:39;107;09:34;1;0;;11/17/2023 11:51 AM;12:01 PM;0.54;0.54;0.48;0.60
1139;11/17/2023;;0;Unchecked;Unchecked;Unchecked;Unchecked;0;17;0.96;1.44;1.20;1.26;5.31;6.85;4.95;7.54;2.26;0.49;0.63;0.45;0.69;14:16;10:40:44;54;14:16;3;0;;11/17/2023 11:41 AM;11:55 AM;0.54;0.90;0.78;0.84
1102;11/17/2023;;0;Unchecked;Unchecked;Unchecked;Unchecked;0;20;1.98;1.68;2.16;1.62;6.42;5.68;4.92;5.71;1.97;0.56;0.49;0.43;0.49;07:27;11:25:47;212;07:27;3;0;;11/17/2023 11:45 AM;11:52 AM;1.44;1.32;1.56;1.26
1397;11/17/2023;;0;Unchecked;Unchecked;Unchecked;Unchecked;0;;2.46;2.22;2.28;1.80;2.01;2.90;2.06;2.26;1.19;0.26;0.37;0.27;0.29;04:45;07:41:13;249;04:45;1;0;;11/17/2023 11:46 AM;11:51 AM;1.80;1.62;1.68;1.38
1468;11/17/2023;;0;Unchecked;Unchecked;Unchecked;Unchecked;0;;1.50;1.44;1.26;1.20;4.14;6.13;4.03;4.47;1.50;0.33;0.49;0.32;0.36;12:03;12:20:12;77;12:03;1;0;;11/17/2023 11:38 AM;11:50 AM;1.08;0.96;0.96;0.90
