Animal Number;Birth Date;Age In Days;Last Calving Date;Days In Milk;Lactation Number;Total Kick-Offs Last 7d;Peak OCC Current Lactation;Latest Lifetime Daily Yield;Total Lifetime Yield;Type;Avg. OCC Last 9 Milkings;Avg. Flow Last 7 Days;Avg. Yield Per Milking Last 7d;Total Yield In Lactation;Peak Yield;Peak Yield Day;Peak OCC Current Lactation
1435;6/16/2021;885;7/10/2023;131;1;;302;10.8;9522;Tank;;10.49;27.97;9521.77;82.28;89;302
1434;6/15/2021;886;5/5/2023;197;1;;422;20.7;18347;Tank;;10.33;42.85;18347.29;109.48;108;422
1433;6/13/2021;888;5/6/2023;196;1;;257;17.1;15169;Tank;;9.09;24.33;15168.97;90.30;104;257
1432;6/13/2021;888;8/17/2023;93;1;;920;8.3;7373;Tank;;9.80;30.89;7373.36;;;920
1430;6/11/2021;890;5/17/2023;185;1;1;3051;20.6;18311;Tank;;7.29;37.56;18310.67;114.78;46;3051
1429;6/10/2021;891;4/28/2023;204;1;;648;21.5;19163;Tank;;9.72;32.93;19163.31;103.79;90;648
1427;6/10/2021;891;9/22/2023;57;1;;831;4.5;4023;Tank;;12.50;38.48;4022.64;;;831
1425;6/3/2021;898;6/23/2023;148;1;;302;12.6;11302;Tank;;6.47;32.30;11302.04;86.31;106;302
1424;6/1/2021;900;5/22/2023;180;1;1;325;13.0;11664;Tank;;8.59;22.55;11663.98;78.97;115;325
1423;5/23/2021;909;5/6/2023;196;1;3;180;16.4;14943;Tank;;11.71;25.82;14942.74;86.73;74;180
1422;5/12/2021;920;3/11/2023;252;1;1;54;19.6;18059;Tank;;11.15;28.99;18058.53;84.07;85;54
1419;5/7/2021;925;3/27/2023;236;1;1;4997;21.1;19552;Tank;;10.42;35.92;19552.23;94.24;119;4997
1418;5/4/2021;928;7/19/2023;122;1;;325;9.9;9170;Tank;;14.29;39.82;9169.91;98.35;103;325
1417;5/4/2021;928;4/9/2023;223;1;;71;19.7;18237;Tank;;8.80;30.81;18237.06;91.35;126;71
1414;4/30/2021;932;2/23/2023;268;1;1;1442;22.6;21061;Tank;;11.46;36.24;21060.59;90.64;71;1442
1412;4/26/2021;936;5/1/2023;201;1;2;3114;16.6;15503;Tank;;6.32;31.36;15503.33;92.53;136;3114
1410;4/23/2021;939;3/10/2023;253;1;;568;18.2;17043;Tank;;5.96;29.79;17043.04;80.71;130;568
1409;4/22/2021;940;5/21/2023;181;1;2;591;16.5;15534;Tank;;9.19;23.92;15534.10;96.75;129;591
1407;4/11/2021;951;4/16/2023;216;1;;1008;17.0;16127;Tank;;9.10;25.93;16127.24;86.70;122;1008
1406;4/4/2021;958;4/19/2023;213;1;4;2325;14.7;14073;Tank;;10.22;21.39;14073.28;77.33;67;2325
1405;4/3/2021;959;6/4/2023;167;1;;297;12.6;12084;Tank;;8.22;25.26;12083.74;81.54;66;297
1404;4/2/2021;960;3/6/2023;257;1;;357;21.3;20472;Tank;;13.39;17.58;20472.46;87.71;116;357
1401;3/24/2021;969;3/11/2023;252;1;;1142;17.2;16659;Tank;;14.87;24.75;16659.32;80.09;57;1142
1400;3/18/2021;975;3/31/2023;232;1;;4834;20.7;20139;Tank;;9.80;30.88;20138.75;98.52;107;4834
1399;3/17/2021;976;3/8/2023;255;1;;3862;21.8;21298;Tank;;7.37;28.09;21298.47;98.05;133;3862
1398;3/14/2021;979;3/5/2023;258;1;;222;20.1;19648;Tank;;9.97;26.58;19647.76;89.48;35;222
1397;3/8/2021;985;3/13/2023;250;1;;262;19.7;19383;Tank;;13.48;25.01;19382.71;93.78;39;262
1396;3/8/2021;985;4/8/2023;224;1;;534;17.5;17240;Tank;;8.94;27.04;17239.51;88.85;71;534
1395;3/7/2021;986;5/17/2023;185;1;;165;15.8;15589;Tank;;6.32;26.74;15588.95;96.46;58;165
1391;3/1/2021;992;3/6/2023;257;1;;211;20.3;20109;Tank;;11.00;26.05;20109.03;86.11;111;211
1389;2/27/2021;994;1/9/2023;313;1;;4011;21.9;21775;Tank;;7.05;39.95;21774.55;79.91;60;4011
1388;2/26/2021;995;1/10/2023;305;1;;857;22.6;22462;Tank;10;11.90;43.94;22461.89;83.94;31;857
1385;2/23/2021;998;3/13/2023;250;1;1;191;20.8;20728;Tank;;9.14;27.53;20727.80;98.65;49;191
1382;2/14/2021;1007;1/9/2023;306;1;;1625;27.6;27801;Tank;90;15.61;42.06;27801.36;106.54;48;1625
1380;2/11/2021;1010;1/20/2023;302;1;;162;21.9;22075;Tank;;12.08;24.08;22075.42;81.14;109;162
1378;2/10/2021;1011;12/30/2022;274;1;;154;20.0;20202;Tank;13;;;20202.48;87.51;31;154
1377;2/10/2021;1011;1/1/2023;272;1;;188;16.9;17056;Tank;46;;;17055.89;74.83;124;188
1376;2/9/2021;1012;2/13/2023;278;1;;465;22.3;22612;Tank;;10.13;21.91;22611.98;89.72;125;465
1375;2/9/2021;1012;1/1/2023;272;1;;325;18.9;19177;Tank;14;;;19177.22;79.91;138;325
1374;2/9/2021;1012;2/28/2023;256;1;;468;14.7;14866;Tank;9;9.52;41.60;14865.75;69.17;74;468
1373;2/7/2021;1014;12/28/2022;223;1;;168;12.8;13014;Tank;20;;;13013.96;67.97;93;168
1372;2/7/2021;1014;1/26/2023;296;1;;1271;24.4;24745;Tank;;11.38;36.46;24744.53;93.45;70;1271
1371;2/5/2021;1016;2/25/2023;266;1;;97;18.5;18800;Tank;;7.94;42.73;18799.81;81.88;112;97
1370;2/4/2021;1017;3/3/2023;260;1;;545;22.7;23133;Tank;;10.80;31.46;23132.67;103.58;40;545
1368;2/1/2021;1020;2/2/2023;282;1;;1208;20.6;21002;Tank;26;11.38;34.30;21002.01;90.08;133;1208
1367;1/31/2021;1021;12/31/2022;315;1;;180;25.4;25975;Tank;27;16.67;38.93;25975.07;99.56;56;180
1366;1/30/2021;1022;2/10/2023;249;1;;194;15.6;15921;Tank;;;;15921.15;73.55;87;194
1365;1/30/2021;1022;1/31/2023;291;1;1;774;21.2;21636;Tank;;16.40;31.90;21636.13;97.24;64;774
1364;1/27/2021;1025;2/7/2023;284;1;;134;24.2;24764;Tank;;14.68;45.38;24763.82;105.57;130;134
1363;1/24/2021;1028;1/17/2023;298;1;;228;20.0;20591;Tank;;16.80;34.33;20590.89;79.64;48;228
1362;1/24/2021;1028;1/4/2023;318;1;1;88;24.8;25489;Tank;;13.57;27.29;25488.97;93.10;131;88
1361;1/21/2021;1031;3/15/2023;248;1;;7088;18.1;18670;Tank;;9.14;37.39;18670.36;94.19;93;7088
1360;1/20/2021;1032;2/10/2023;281;1;;1208;22.1;22799;Tank;;8.82;28.94;22799.09;93.28;44;1208
1359;1/16/2021;1036;2/2/2023;289;1;;3222;24.8;25650;Tank;;9.61;32.34;25649.93;99.63;142;3222
1356;1/2/2021;1050;12/9/2022;187;1;;622;11.6;12201;Tank;;;;12201.49;74.94;38;622
1354;12/23/2020;1060;2/23/2023;268;1;;160;20.1;21338;Tank;;9.93;42.00;21338.46;88.51;96;160
1351;12/17/2020;1066;11/27/2022;222;1;;331;14.8;15778;Tank;;;;15777.61;83.99;135;331
1348;12/15/2020;1068;12/14/2022;307;1;;240;22.1;23556;Tank;;;;23555.87;91.36;62;240
1346;12/12/2020;1071;12/9/2022;295;1;;368;21.4;22875;Tank;;;;22874.73;91.71;61;368
1344;12/9/2020;1074;12/10/2022;311;1;;65;23.2;24921;Tank;;;;24921.34;92.85;111;65
1343;12/6/2020;1077;11/24/2022;352;1;;320;27.0;29096;Tank;19;12.17;39.24;29096.35;94.77;131;320
1339;12/2/2020;1081;12/6/2022;172;1;;91;9.6;10368;Tank;29;;;10367.75;70.00;82;91
1337;11/30/2020;1083;11/20/2022;206;1;;25;12.1;13058;Tank;;;;13057.63;73.38;96;25
1333;11/19/2020;1094;12/7/2022;297;1;;91;18.8;20590;Tank;14;;;20589.59;78.77;70;91
1331;11/16/2020;1097;12/30/2022;316;1;;102;26.6;29182;Tank;4;13.76;61.05;29181.65;110.41;55;102
1329;11/12/2020;1101;11/27/2022;356;1;;234;24.3;26715;Tank;;10.25;30.51;26714.65;81.77;49;234
1327;11/4/2020;1109;12/28/2022;318;1;;1025;21.6;23998;Tank;14;8.99;45.19;23998.42;87.71;62;1025
1320;10/31/2020;1113;9/29/2022;415;1;;74;27.4;30533;Tank;;10.37;49.02;30532.63;86.23;49;74
1324;10/10/2020;1134;11/5/2022;221;1;;28;12.4;14090;Tank;;;;14090.12;75.53;51;28
1322;10/4/2020;1140;10/31/2022;351;1;;77;22.6;25759;Tank;;;;25758.53;88.68;106;77
1317;9/25/2020;1149;11/4/2022;245;1;;322;14.2;16341;Tank;;;;16340.71;89.20;67;322
1311;9/9/2020;1165;10/26/2022;381;1;;251;21.9;25457;Tank;76;13.36;49.65;25456.96;78.94;55;251
1308;9/4/2020;1170;9/7/2022;364;1;;745;20.8;24362;Tank;;;;24361.72;86.71;72;745
1306;8/28/2020;1177;1/2/2023;271;1;;234;14.7;17258;Tank;25;;;17257.52;72.63;40;234
1304;8/24/2020;1181;11/7/2022;369;1;;102;27.4;32340;Tank;31;10.98;19.40;32340.41;112.03;62;102
1292;7/20/2020;1216;6/2/2022;461;1;;131;30.6;37198;Tank;;;;37197.76;101.46;59;131
1794;11/17/2023;1;;;0;;;;;Tank;;;;;;;
1793;11/16/2023;2;;;0;;;;;Tank;;;;;;;
1792;11/14/2023;4;;;0;;;;;Tank;;;;;;;
1791;11/13/2023;5;;;0;;;;;Tank;;;;;;;
1790;11/10/2023;8;;;0;;;;;Tank;;;;;;;
1789;11/10/2023;8;;;0;;;;;Tank;;;;;;;
1788;11/9/2023;9;;;0;;;;;Tank;;;;;;;
1787;11/8/2023;10;;;0;;;;;Tank;;;;;;;
1786;11/5/2023;13;;;0;;;;;Tank;;;;;;;
1785;10/28/2023;21;;;0;;;;;Tank;;;;;;;
1784;10/27/2023;22;;;0;;;;;Tank;;;;;;;
1783;10/27/2023;22;;;0;;;;;Tank;;;;;;;
1782;10/27/2023;22;;;0;;;;;Tank;;;;;;;
1781;10/26/2023;23;;;0;;;;;Tank;;;;;;;
1780;10/25/2023;24;;;0;;;;;Tank;;;;;;;
1748;7/31/2023;110;;;0;;;;;Tank;;;;;;;
1624;10/18/2022;396;;;0;;;;;Tank;;;;;;;
1779;10/15/2023;34;;;0;;;;;Tank;;;;;;;
1778;10/10/2023;39;;;0;;;;;Tank;;;;;;;
1777;10/9/2023;40;;;0;;;;;Tank;;;;;;;
1776;10/5/2023;44;;;0;;;;;Tank;;;;;;;
1775;10/5/2023;44;;;0;;;;;Tank;;;;;;;
1774;10/4/2023;45;;;0;;;;;Tank;;;;;;;
1773;9/27/2023;52;;;0;;;;;Tank;;;;;;;
1772;9/26/2023;53;;;0;;;;;Tank;;;;;;;
1771;9/18/2023;61;;;0;;;;;Tank;;;;;;;
1770;9/13/2023;66;;;0;;;;;Tank;;;;;;;
1769;9/8/2023;71;;;0;;;;;Tank;;;;;;;
1768;9/6/2023;73;;;0;;;;;Tank;;;;;;;
1767;9/6/2023;73;;;0;;;;;Tank;;;;;;;
1766;9/6/2023;73;;;0;;;;;Tank;;;;;;;
1765;9/6/2023;73;;;0;;;;;Tank;;;;;;;
1764;9/6/2023;73;;;0;;;;;Tank;;;;;;;
1763;9/5/2023;74;;;0;;;;;Tank;;;;;;;
1762;9/4/2023;75;;;0;;;;;Tank;;;;;;;
1761;9/1/2023;78;;;0;;;;;Tank;;;;;;;
1760;9/1/2023;78;;;0;;;;;Tank;;;;;;;
1759;8/25/2023;85;;;0;;;;;Tank;;;;;;;
1758;8/24/2023;86;;;0;;;;;Tank;;;;;;;
1757;8/24/2023;86;;;0;;;;;Tank;;;;;;;
1756;8/21/2023;89;;;0;;;;;Tank;;;;;;;
1755;8/18/2023;92;;;0;;;;;Tank;;;;;;;
1753;8/16/2023;94;;;0;;;;;Tank;;;;;;;
1752;8/9/2023;101;;;0;;;;;Tank;;;;;;;
1751;8/7/2023;103;;;0;;;;;Tank;;;;;;;
1750;8/2/2023;108;;;0;;;;;Tank;;;;;;;
1749;8/2/2023;108;;;0;;;;;Tank;;;;;;;
1746;7/30/2023;111;;;0;;;;;Tank;;;;;;;
1747;7/27/2023;114;;;0;;;;;Tank;;;;;;;
1745;7/23/2023;118;;;0;;;;;Tank;;;;;;;
1744;7/15/2023;126;;;0;;;;;Tank;;;;;;;
1743;7/9/2023;132;;;0;;;;;Tank;;;;;;;
1742;7/9/2023;132;;;0;;;;;Tank;;;;;;;
1741;7/3/2023;138;;;0;;;;;Tank;;;;;;;
1740;6/28/2023;143;;;0;;;;;Tank;;;;;;;
1739;6/24/2023;147;;;0;;;;;Tank;;;;;;;
1738;6/23/2023;148;;;0;;;;;Tank;;;;;;;
1737;6/21/2023;150;;;0;;;;;Tank;;;;;;;
1736;6/20/2023;151;;;0;;;;;Tank;;;;;;;
1564;4/14/2022;583;;;0;;;;;Tank;;;;;;;
1735;6/11/2023;160;;;0;;;;;Tank;;;;;;;
1734;6/8/2023;163;;;0;;;;;Tank;;;;;;;
1733;6/5/2023;166;;;0;;;;;Tank;;;;;;;
1732;6/5/2023;166;;;0;;;;;Tank;;;;;;;
1731;6/3/2023;168;;;0;;;;;Tank;;;;;;;
1730;6/3/2023;168;;;0;;;;;Tank;;;;;;;
1729;5/31/2023;171;;;0;;;;;Tank;;;;;;;
1728;5/23/2023;179;;;0;;;;;Tank;;;;;;;
1727;5/22/2023;180;;;0;;;;;Tank;;;;;;;
1726;5/20/2023;182;;;0;;;;;Tank;;;;;;;
1725;5/14/2023;188;;;0;;;;;Tank;;;;;;;
1724;5/6/2023;196;;;0;;;;;Tank;;;;;;;
1723;5/6/2023;196;;;0;;;;;Tank;;;;;;;
1722;5/5/2023;197;;;0;;;;;Tank;;;;;;;
1721;5/5/2023;197;;;0;;;;;Tank;;;;;;;
1720;5/4/2023;198;;;0;;;;;Tank;;;;;;;
1719;4/28/2023;204;;;0;;;;;Tank;;;;;;;
1718;4/27/2023;205;;;0;;;;;Tank;;;;;;;
1717;4/25/2023;207;;;0;;;;;Tank;;;;;;;
1716;4/25/2023;207;;;0;;;;;Tank;;;;;;;
1715;4/19/2023;213;;;0;;;;;Tank;;;;;;;
1714;4/19/2023;213;;;0;;;;;Tank;;;;;;;
1713;4/9/2023;223;;;0;;;;;Tank;;;;;;;
1712;4/8/2023;224;;;0;;;;;Tank;;;;;;;
1711;4/8/2023;224;;;0;;;;;Tank;;;;;;;
1710;4/3/2023;229;;;0;;;;;Tank;;;;;;;
1709;3/31/2023;232;;;0;;;;;Tank;;;;;;;
1708;3/27/2023;236;;;0;;;;;Tank;;;;;;;
1707;3/21/2023;242;;;0;;;;;Tank;;;;;;;
1706;3/17/2023;246;;;0;;;;;Tank;;;;;;;
1705;3/17/2023;246;;;0;;;;;Tank;;;;;;;
1704;3/16/2023;247;;;0;;;;;Tank;;;;;;;
1703;3/16/2023;247;;;0;;;;;Tank;;;;;;;
1702;3/14/2023;249;;;0;;;;;Tank;;;;;;;
1701;3/13/2023;250;;;0;;;;;Tank;;;;;;;
1700;3/13/2023;250;;;0;;;;;Tank;;;;;;;
1699;3/13/2023;250;;;0;;;;;Tank;;;;;;;
1698;3/11/2023;252;;;0;;;;;Tank;;;;;;;
1697;3/11/2023;252;;;0;;;;;Tank;;;;;;;
1696;3/10/2023;253;;;0;;;;;Tank;;;;;;;
1695;3/9/2023;254;;;0;;;;;Tank;;;;;;;
1694;3/8/2023;255;;;0;;;;;Tank;;;;;;;
1693;3/6/2023;257;;;0;;;;;Tank;;;;;;;
1692;3/6/2023;257;;;0;;;;;Tank;;;;;;;
1691;3/5/2023;258;;;0;;;;;Tank;;;;;;;
1690;3/4/2023;259;;;0;;;;;Tank;;;;;;;
1689;2/28/2023;263;;;0;;;;;Tank;;;;;;;
1688;2/23/2023;268;;;0;;;;;Tank;;;;;;;
1687;2/14/2023;277;;;0;;;;;Tank;;;;;;;
1686;2/13/2023;278;;;0;;;;;Tank;;;;;;;
1685;2/12/2023;279;;;0;;;;;Tank;;;;;;;
1684;2/10/2023;281;;;0;;;;;Tank;;;;;;;
1682;2/6/2023;285;;;0;;;;;Tank;;;;;;;
1681;2/5/2023;286;;;0;;;;;Tank;;;;;;;
1680;2/4/2023;287;;;0;;;;;Tank;;;;;;;
1679;2/2/2023;289;;;0;;;;;Tank;;;;;;;
1678;1/31/2023;291;;;0;;;;;Tank;;;;;;;
1677;1/26/2023;296;;;0;;;;;Tank;;;;;;;
1676;1/25/2023;297;;;0;;;;;Tank;;;;;;;
1675;1/21/2023;301;;;0;;;;;Tank;;;;;;;
1674;1/20/2023;302;;;0;;;;;Tank;;;;;;;
1673;1/17/2023;305;;;0;;;;;Tank;;;;;;;
1672;1/15/2023;307;;;0;;;;;Tank;;;;;;;
1671;1/12/2023;310;;;0;;;;;Tank;;;;;;;
1670;1/12/2023;310;;;0;;;;;Tank;;;;;;;
1669;1/10/2023;312;;;0;;;;;Tank;;;;;;;
1668;1/9/2023;313;;;0;;;;;Tank;;;;;;;
1667;1/9/2023;313;;;0;;;;;Tank;;;;;;;
1666;1/9/2023;313;;;0;;;;;Tank;;;;;;;
1665;1/9/2023;313;;;0;;;;;Tank;;;;;;;
1664;1/7/2023;315;;;0;;;;;Tank;;;;;;;
1663;1/1/2023;321;;;0;;;;;Tank;;;;;;;
1662;12/31/2022;322;;;0;;;;;Tank;;;;;;;
1661;12/30/2022;323;;;0;;;;;Tank;;;;;;;
1660;12/23/2022;330;;;0;;;;;Tank;;;;;;;
1659;12/23/2022;330;;;0;;;;;Tank;;;;;;;
1658;12/16/2022;337;;;0;;;;;Tank;;;;;;;
1657;12/16/2022;337;;;0;;;;;Tank;;;;;;;
1656;12/14/2022;339;;;0;;;;;Tank;;;;;;;
1655;12/12/2022;341;;;0;;;;;Tank;;;;;;;
1654;12/12/2022;341;;;0;;;;;Tank;;;;;;;
1653;12/10/2022;343;;;0;;;;;Tank;;;;;;;
1652;12/9/2022;344;;;0;;;;;Tank;;;;;;;
1651;12/9/2022;344;;;0;;;;;Tank;;;;;;;
1650;12/7/2022;346;;;0;;;;;Tank;;;;;;;
1649;12/6/2022;347;;;0;;;;;Tank;;;;;;;
1648;12/5/2022;348;;;0;;;;;Tank;;;;;;;
1647;11/30/2022;353;;;0;;;;;Tank;;;;;;;
1646;11/29/2022;354;;;0;;;;;Tank;;;;;;;
1645;11/27/2022;356;;;0;;;;;Tank;;;;;;;
1644;11/24/2022;359;;;0;;;;;Tank;;;;;;;
1643;11/24/2022;359;;;0;;;;;Tank;;;;;;;
1642;11/22/2022;361;;;0;;;;;Tank;;;;;;;
1641;11/21/2022;362;;;0;;;;;Tank;;;;;;;
1640;11/20/2022;363;;;0;;;;;Tank;;;;;;;
1639;11/20/2022;363;;;0;;;;;Tank;;;;;;;
1638;11/18/2022;365;;;0;;;;;Tank;;;;;;;
1637;11/14/2022;369;;;0;;;;;Tank;;;;;;;
1636;11/8/2022;375;;;0;;;;;Tank;;;;;;;
1635;11/5/2022;378;;;0;;;;;Tank;;;;;;;
1634;11/5/2022;378;;;0;;;;;Tank;;;;;;;
1633;11/4/2022;379;;;0;;;;;Tank;;;;;;;
1632;11/3/2022;380;;;0;;;;;Tank;;;;;;;
1631;10/29/2022;385;;;0;;;;;Tank;;;;;;;
1630;10/28/2022;386;;;0;;;;;Tank;;;;;;;
1629;10/25/2022;389;;;0;;;;;Tank;;;;;;;
1628;10/23/2022;391;;;0;;;;;Tank;;;;;;;
1627;10/19/2022;395;;;0;;;;;Tank;;;;;;;
1626;10/19/2022;395;;;0;;;;;Tank;;;;;;;
1625;10/19/2022;395;;;0;;;;;Tank;;;;;;;
1623;10/15/2022;399;;;0;;;;;Tank;;;;;;;
1622;10/15/2022;399;;;0;;;;;Tank;;;;;;;
1621;10/13/2022;401;;;0;;;;;Tank;;;;;;;
1620;10/10/2022;404;;;0;;;;;Tank;;;;;;;
1619;10/8/2022;406;;;0;;;;;Tank;;;;;;;
1618;9/29/2022;415;;;0;;;;;Tank;;;;;;;
1617;9/28/2022;416;;;0;;;;;Tank;;;;;;;
1616;9/23/2022;421;;;0;;;;;Tank;;;;;;;
1615;9/18/2022;426;;;0;;;;;Tank;;;;;;;
1614;9/16/2022;428;;;0;;;;;Tank;;;;;;;
1613;9/12/2022;432;;;0;;;;;Tank;;;;;;;
1612;9/12/2022;432;;;0;;;;;Tank;;;;;;;
1611;9/9/2022;435;;;0;;;;;Tank;;;;;;;
13101;9/7/2022;437;;;0;;;;;Tank;;;;;;;
1609;9/6/2022;438;;;0;;;;;Tank;;;;;;;
1608;9/4/2022;440;;;0;;;;;Tank;;;;;;;
1607;8/26/2022;449;;;0;;;;;Tank;;;;;;;
1606;8/24/2022;451;;;0;;;;;Tank;;;;;;;
1605;8/24/2022;451;;;0;;;;;Tank;;;;;;;
1604;8/24/2022;451;;;0;;;;;Tank;;;;;;;
1603;8/22/2022;453;;;0;;;;;Tank;;;;;;;
1602;8/21/2022;454;;;0;;;;;Tank;;;;;;;
1601;8/12/2022;463;;;0;;;;;Tank;;;;;;;
1600;8/7/2022;468;;;0;;;;;Tank;;;;;;;
1599;8/1/2022;474;;;0;;;;;Tank;;;;;;;
1598;7/31/2022;475;;;0;;;;;Tank;;;;;;;
1597;7/30/2022;476;;;0;;;;;Tank;;;;;;;
1596;7/27/2022;479;;;0;;;;;Tank;;;;;;;
1595;7/24/2022;482;;;0;;;;;Tank;;;;;;;
1594;7/20/2022;486;;;0;;;;;Tank;;;;;;;
1593;7/19/2022;487;;;0;;;;;Tank;;;;;;;
1592;7/18/2022;488;;;0;;;;;Tank;;;;;;;
1591;7/17/2022;489;;;0;;;;;Tank;;;;;;;
1590;7/17/2022;489;;;0;;;;;Tank;;;;;;;
1587;7/14/2022;492;;;0;;;;;Tank;;;;;;;
1589;7/13/2022;493;;;0;;;;;Tank;;;;;;;
1588;7/10/2022;496;;;0;;;;;Tank;;;;;;;
1586;6/29/2022;507;;;0;;;;;Tank;;;;;;;
1585;6/27/2022;509;;;0;;;;;Tank;;;;;;;
1584;6/17/2022;519;;;0;;;;;Tank;;;;;;;
1583;6/15/2022;521;;;0;;;;;Tank;;;;;;;
1582;6/13/2022;523;;;0;;;;;Tank;;;;;;;
1581;6/12/2022;524;;;0;;;;;Tank;;;;;;;
1577;6/10/2022;526;;;0;;;;;Tank;;;;;;;
1580;6/2/2022;534;;;0;;;;;Tank;;;;;;;
1579;5/31/2022;536;;;0;;;;;Tank;;;;;;;
1578;5/30/2022;537;;;0;;;;;Tank;;;;;;;
1576;5/20/2022;547;;;0;;;;;Tank;;;;;;;
1575;5/12/2022;555;;;0;;;;;Tank;;;;;;;
1574;5/9/2022;558;;;0;;;;;Tank;;;;;;;
1573;5/7/2022;560;;;0;;;;;Tank;;;;;;;
1572;5/7/2022;560;;;0;;;;;Tank;;;;;;;
1571;5/4/2022;563;;;0;;;;;Tank;;;;;;;
1570;5/3/2022;564;;;0;;;;;Tank;;;;;;;
1569;5/2/2022;565;;;0;;;;;Tank;;;;;;;
1568;4/28/2022;569;;;0;;;;;Tank;;;;;;;
1567;4/27/2022;570;;;0;;;;;Tank;;;;;;;
1566;4/22/2022;575;;;0;;;;;Tank;;;;;;;
1565;4/16/2022;581;;;0;;;;;Tank;;;;;;;
1563;4/4/2022;593;;;0;;;;;Tank;;;;;;;
1562;3/30/2022;598;;;0;;;;;Tank;;;;;;;
1561;3/29/2022;599;;;0;;;;;Tank;;;;;;;
1560;3/23/2022;605;;;0;;;;;Tank;;;;;;;
1559;3/19/2022;609;;;0;;;;;Tank;;;;;;;
1552;3/18/2022;610;;;0;;;;;Tank;;;;;;;
1539;3/15/2022;613;;;0;;;;;Tank;;;;;;;
1540;3/12/2022;616;;;0;;;;;Tank;;;;;;;
1537;3/11/2022;617;;;0;;;;;Tank;;;;;;;
1524;3/9/2022;619;;;0;;;;;Tank;;;;;;;
1518;3/7/2022;621;;;0;;;;;Tank;;;;;;;
1512;3/6/2022;622;;;0;;;;;Tank;;;;;;;
1508;3/3/2022;625;;;0;;;;;Tank;;;;;;;
1505;3/1/2022;627;;;0;;;;;Tank;;;;;;;
1558;2/27/2022;629;;;0;;;;;Tank;;;;;;;
1557;2/27/2022;629;;;0;;;;;Tank;;;;;;;
1556;2/26/2022;630;;;0;;;;;Tank;;;;;;;
1555;2/26/2022;630;;;0;;;;;Tank;;;;;;;
1554;2/24/2022;632;;;0;;;;;Tank;;;;;;;
1553;2/23/2022;633;;;0;;;;;Tank;;;;;;;
1550;2/17/2022;639;;;0;;;;;Tank;;;;;;;
1549;2/15/2022;641;;;0;;;;;Tank;;;;;;;
1548;2/14/2022;642;;;0;;;;;Tank;;;;;;;
1547;2/14/2022;642;;;0;;;;;Tank;;;;;;;
1546;2/13/2022;643;;;0;;;;;Tank;;;;;;;
1545;2/12/2022;644;;;0;;;;;Tank;;;;;;;
1544;2/9/2022;647;;;0;;;;;Tank;;;;;;;
1543;2/9/2022;647;;;0;;;;;Tank;;;;;;;
1542;2/7/2022;649;;;0;;;;;Tank;;;;;;;
1541;2/6/2022;650;;;0;;;;;Tank;;;;;;;
1538;2/1/2022;655;;;0;;;;;Tank;;;;;;;
1536;1/31/2022;656;;;0;;;;;Tank;;;;;;;
1535;1/30/2022;657;;;0;;;;;Tank;;;;;;;
1534;1/29/2022;658;;;0;;;;;Tank;;;;;;;
1533;1/29/2022;658;;;0;;;;;Tank;;;;;;;
1532;1/29/2022;658;;;0;;;;;Tank;;;;;;;
1531;1/24/2022;663;;;0;;;;;Tank;;;;;;;
1530;1/21/2022;666;;;0;;;;;Tank;;;;;;;
1528;1/18/2022;669;;;0;;;;;Tank;;;;;;;
1527;1/17/2022;670;;;0;;;;;Tank;;;;;;;
1526;1/16/2022;671;;;0;;;;;Tank;;;;;;;
1525;1/13/2022;674;;;0;;;;;Tank;;;;;;;
1523;1/7/2022;680;;;0;;;;;Tank;;;;;;;
1522;1/6/2022;681;;;0;;;;;Tank;;;;;;;
1521;1/2/2022;685;;;0;;;;;Tank;;;;;;;
1520;1/1/2022;686;;;0;;;;;Tank;;;;;;;
1519;12/30/2021;688;;;0;;;;;Tank;;;;;;;
1517;12/28/2021;690;;;0;;;;;Tank;;;;;;;
1516;12/27/2021;691;;;0;;;;;Tank;;;;;;;
1515;12/24/2021;694;;;0;;;;;Tank;;;;;;;
1514;12/22/2021;696;;;0;;;;;Tank;;;;;;;
1513;12/23/2021;695;;;0;;;;;Tank;;;;;;;
1510;12/22/2021;696;;;0;;;;;Tank;;;;;;;
1509;12/20/2021;698;;;0;;;;;Tank;;;;;;;
1506;12/16/2021;702;;;0;;;;;Tank;;;;;;;
1502;12/5/2021;713;;;0;;;;;Tank;;;;;;;
1500;12/3/2021;715;;;0;;;;;Tank;;;;;;;
1499;12/2/2021;716;;;0;;;;;Tank;;;;;;;
1498;12/2/2021;716;;;0;;;;;Tank;;;;;;;
1497;11/25/2021;723;;;0;;;;;Tank;;;;;;;
1496;11/24/2021;724;;;0;;;;;Tank;;;;;;;
1494;11/22/2021;726;;;0;;;;;Tank;;;;;;;
1493;11/22/2021;726;;;0;;;;;Tank;;;;;;;
1492;11/21/2021;727;;;0;;;;;Tank;;;;;;;
1491;11/21/2021;727;;;0;;;;;Tank;;;;;;;
1490;11/21/2021;727;;;0;;;;;Tank;;;;;;;
1488;11/20/2021;728;;;0;;;;;Tank;;;;;;;
1481;11/3/2021;745;;;0;;;;;Tank;;;;;;;
1469;10/10/2021;769;;;0;;;;;Tank;;;;;;;
1467;10/9/2021;770;;;0;;;;;Tank;;;;;;;
